商品名称,店铺名,商品售价,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量
【Live】คุชชั่นสุรีย์พร 1 ตลับ ราคาพิเศษ (มีให้เลือก 4 เฉดสี),มินิอายรีวิว,฿181.66,美妆个护-美妆-遮瑕与粉底,3%,49781,165.41%,70462,11827541,8002238,2025-07-04 22:35:02,3554720
IBLANC UNDERARM TONING : ไอบลองก์ อันเดอร์อาร์ม โทนนิ่ง Toner ผิว,iblanc Beauty Care,฿182.00,美妆个护-美容护肤-爽肤水、化妆水,15%,47778,0.74%,168931,27209444.34,7504584.84,2023-08-16 17:00:24,373231
（ซื้อ1แถม 1）HUNMUI มาส์กเจลลี่ กำจัดรูขุมขน  มาส์กโคลน,Silanya Lab,฿85.00,美妆个护-美容护肤-面膜,15%,47403,44.99%,83203,7033830.56,4029255,2025-08-22 09:55:11,241472
(1 แถม 1) Collagen Serum ยูมิโกะ  สกินแคร์ผิวหน้า,โรงงานทนายเก่ง,฿126.00,美妆个护-美容护肤-面部精华液,10%,47122,1.05%,346559,34520527.99,4947810,2023-11-01 00:38:14,1829127
【G04-G42】MILAI ขนตาปลอมกาวในตัว ติดง่าย ไม่ง้อกาว เรียงเส้นสวย เป็นธรรมชาติ มีให้เลือกถึง 15 ทรง,Milai Thailand,฿55.00,美妆个护-美妆-假睫毛与胶水,15%,46271,40.71%,108671,4779693.27,2128466,2025-06-11 12:11:16,168163
สติกเกอร์ฮาโลวีนน่ารักและสยอง กันน้ำ สำหรับแต่งหน้าเล่นคอสเพลย์และตกแต่งโทรศัพท์กระเป๋าเดินทางแก้ว สติกเกอร์ติดผิวชั่วคราว กันน้ำ ลอกออกง่าย เหมาะสำหรับงานคอสเพลย์ฮาโลวีนและตกแต่งปาร์ตี้,H.Y MZ,฿19.00,美妆个护-美妆-纹身贴,12%,45590,1761.58%,48039,2742306.6,2700677,2025-09-04 14:22:14,241260
【BCD】Glad2Glow Mugwort Salicylic Acid Acne Clay Stick+Volcano 3D Acid Pore Clay Stick+Pomegranate Niacinamide Brightening Clay Stick มากส์โคลนสำหรับผิวหน้า ทำความสะอาดรูขุมขนได้อย่างง่ายดาย Mask ใบหน้า Skincare,Glad2GlowThai,฿105.42,美妆个护-美容护肤-面膜,1%,44499,32.32%,97699,9353022.57,3976723.27,2025-04-01 06:44:21,836322
ThaiSmile ยาสีฟัน SP-10 ปรับปรุงกลิ่นปาก ลมหายใจสดชื่น ทำให้ฟันขาวขึ้น เหมาะสำหรับทั้งครอบครัว,ThaiSmile shop,฿103.92,美妆个护-鼻子口腔护理-牙膏,18%,44237,224.75%,171901,16430827.43,4046053.23,2024-12-28 03:15:41,273785
บีไวท์โลชั่น 3 IN 1 โทนอัพ กันแดด ชุ่มชื้น โทนอัพสำหรับผิวกาย ขนาด 150 ML.,BWHITE THAILAND,฿225.00,美妆个护-洗浴与身体护理-身体霜、乳,20%,44136,12.71%,140769,36245088.74,11083561.74,2025-03-31 11:11:39,198044
KARI Red Does 50X Intensive Formula โดสแดงเข้มข้นสูตรใหม่ 50X ขวดใหญ่ 1ขวด 500ml. [ตะกร้าบริษัท],เจ้าของแบรนด์คาริสกิน2,฿326.00,美妆个护-洗浴与身体护理-身体霜、乳,10%,43312,46.24%,133512,36487628,11367692,2025-04-17 07:22:02,242490
